CID,Type,Impact,Classification,Severity,Action,Component,Category,File,Function
19651,Cross-site request forgery,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/StoredXSS.aspx.cs,OWASP.WebGoat.NET.StoredXSS::btnSave_Click
19652,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Orders.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.Orders::Page_Load
19653,Unused value,Low,Unclassified,Unspecified,Undecided,Other,Code maintainability issues,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetPasswordByEmail
19654,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetEmailByCustomerNumber
19655,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/ForgotPassword.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.ForgotPassword::ButtonCheckEmail_Click
19656,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/ForgotPassword.aspx.cs,OWASP.WebGoat.NET.ForgotPassword::ButtonCheckEmail_Click
19657,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::AddComment
19658,Debug mode enabled,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Web.config,
19659,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/EncryptVSEncode.aspx.cs,OWASP.WebGoat.NET.EncryptVSEncode::MakeRow
19660,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::AddComment
19661,Resource leak,High,Unclassified,Unspecified,Undecided,Other,Resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::UpdateCustomerPassword
19662,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetProductDetails
19663,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/StoredXSS.aspx.cs,OWASP.WebGoat.NET.StoredXSS::FixedLoadComments
19664,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::UpdateCustomerPassword
19665,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetEmailByName
19666,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetPasswordByEmail
19667,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetCustomerDetails
19668,ASP.NET MVC version header included,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Global.asax.cs,OWASP.WebGoat.NET.Global::Application_Start
19669,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::AddComment
19670,"Filesystem path, filename, or URI manipulation",High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/PathManipulation.aspx.cs,OWASP.WebGoat.NET.PathManipulation::Page_Load
19671,"Filesystem path, filename, or URI manipulation",High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Orders.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.Orders::Page_Load
19672,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::IsValidCustomerLogin
19673,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/ProductDetails.aspx,
19674,Resource leak on an exceptional path,Low,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/MainPage.aspx.cs,OWASP.WebGoat.NET.MainPage::Page_Load
19675,Missing custom error page,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/bin/DotNetGoat.dll.config,
19676,Resource leak on an exceptional path,Low,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/MainPage.aspx.cs,OWASP.WebGoat.NET.MainPage::Page_Load
19677,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::IsValidCustomerLogin
19678,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetCustomerEmails
19679,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetCustomerEmails
19680,Resource leak,High,Unclassified,Unspecified,Undecided,Other,Resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetCustomerEmail
19681,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetCustomerEmail
19682,Risky cryptographic hashing function,Medium,Unclassified,Unspecified,Undecided,Other,Medium impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/EncryptVSEncode.aspx.cs,OWASP.WebGoat.NET.EncryptVSEncode::SHA
19683,Cross-site request forgery,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/ChangePassword.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.ChangePassword::ButtonChangePassword_Click
19684,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::AddComment
19685,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/ProxySetup.aspx.cs,OWASP.WebGoat.NET.ProxySetup::btnReverse_Click
19686,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::IsValidCustomerLogin
19687,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetProductDetails
19688,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetCustomerDetails
19689,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetEmailByCustomerNumber
19690,Missing HttpOnly in cookies,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Web.config,
19691,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::AddComment
19692,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::IsValidCustomerLogin
19693,Unused value,Low,Unclassified,Unspecified,Undecided,Other,Code maintainability issues,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetPasswordByEmail
19694,Resource leak on an exceptional path,Low,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/MainPage.aspx.cs,OWASP.WebGoat.NET.MainPage::Page_Load
19695,Missing HttpOnly in cookies,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/bin/DotNetGoat.dll.config,
19696,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/PathManipulation.aspx.cs,OWASP.WebGoat.NET.PathManipulation::Page_Load
19697,Cross-site request forgery,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/ProductDetails.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.ProductDetails::btnSave_Click
19698,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Catalog.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.Catalog::Page_Load
19699,Resource leak,High,Unclassified,Unspecified,Undecided,Other,Resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetEmailByCustomerNumber
19700,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetPasswordByEmail
19701,ASP.NET version disclosure,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/bin/DotNetGoat.dll.config,
19702,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetSecurityQuestionAndAnswer
19703,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetSecurityQuestionAndAnswer
19704,ASP.NET version disclosure,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Web.config,
19705,ASP.NET version disclosure,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Web.config,
19706,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/MainPage.aspx.cs,OWASP.WebGoat.NET.MainPage::Page_Load
19707,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/UploadPathManipulation.aspx.cs,OWASP.WebGoat.NET.UploadPathManipulation::btnUpload_Click
19708,Dereference after null check,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::.ctor
19709,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/ReflectedXSS.aspx.cs,OWASP.WebGoat.NET.ReflectedXSS::LoadCity
19710,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/StoredXSS.aspx.cs,OWASP.WebGoat.NET.StoredXSS::LoadComments
19711,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::AddComment
19712,Resource leak,High,Unclassified,Unspecified,Undecided,Other,Resource leaks,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::AddComment
19713,ASP.NET MVC version header included,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/Global.asax.cs,DotNetGoat.Global::Application_Start
19714,Missing custom error page,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Web.config,
19715,Missing HttpOnly in cookies,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Web.config,
19716,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/ReflectedXSS.aspx.cs,OWASP.WebGoat.NET.ReflectedXSS::FixedLoadCity
19717,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::UpdateCustomerPassword
