Severity	Code	Description	Project	File	Line	Suppression State
Warning	SCS0008	The cookie is missing security flag Secure	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ForgotPassword.aspx.cs	43	Active
Warning	SCS0009	The cookie is missing security flag HttpOnly	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ForgotPassword.aspx.cs	43	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ForgotPassword.aspx.cs	67	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\MainPage.aspx.cs	37	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\MainPage.aspx.cs	41	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\MainPage.aspx.cs	42	Active
Warning	SCS0018	Path traversal: injection possible in 1st argument passed to 'FileUpload1.SaveAs'	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\MainPage.aspx.cs	59	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\Orders.aspx.cs	77	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\Orders.aspx.cs	83	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\Orders.aspx.cs	92	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ProductDetails.aspx.cs	82	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ProductDetails.aspx.cs	83	Active
